カテゴリ,質問ID,質問,あなたの回答,記入のヒント
【型1：顧客DM引用型】,D-01,実際に届いたDMやコメントで「これは多い」と思う悩みのセリフを3つ書いてください,,例：「独学で半年やってるのに全然スコアが上がらない」
【型1：顧客DM引用型】,D-02,そのDMに対してあなたはどう答えることが多いですか？,,例：「まず採点基準のどこで点を落としているかを確認しましょう」
【型1：顧客DM引用型】,D-03,「この悩みを持つ人はとても多い」と感じるエピソードはありますか？,,例：同じ内容のDMが1週間で5件来た
,,,,
【型2：問題原因特定型】,O-01,スコアが伸びない人に共通している「本当の原因」は何ですか？,,例：情報収集不足・採点基準の誤解・アイデア整理ができていない
【型2：問題原因特定型】,O-02,その原因を「あなたのせいじゃない」という言い方で表現するとしたら？,,例：正しい情報に出会えていないだけ
【型2：問題原因特定型】,O-03,その原因に気づかせるために見せられる視覚的な素材はありますか？（答案・採点表・スクショなど）,,例：採点基準の表・実際の答案の一部（モザイク可）
,,,,
【型3：顧客疑問代弁型】,Q-01,「こんな人でも相談していいの？」という疑問として多いものを3つ書いてください,,例：「まだ受験したことないけど大丈夫？」「英語力が低すぎる気がして…」
【型3：顧客疑問代弁型】,Q-02,その疑問それぞれへの回答を書いてください（箇条書きOK）,,例：「受験経験より今の悩みの深さを重視しています」
【型3：顧客疑問代弁型】,Q-03,回答に添えられる具体例・エピソードはありますか？,,例：英語が苦手でも論理力で6.5を取った生徒の話
,,,,
【型4：解決策＋具体例型】,S-01,あなたが提供する解決策を一言で言うと？,,例：採点基準ごとに自分の課題を特定して、そこだけ集中して直す
【型4：解決策＋具体例型】,S-02,その解決策で救われるのはどんな属性の人ですか？できるだけ細かく,,例：社会人・子育て中・3ヶ月以上停滞中・大学院進学志望
【型4：解決策＋具体例型】,S-03,解決策を実践した生徒の具体的なビフォーアフターを書いてください（複数あれば全部）,,例：Task2が全く書けなかった→論理構成を学んで6.0→6.5（1週間）
,,,,
【型5：商品の別視点型】,V-01,あなたのコーチングが「意外な人」にも役立つとしたら、どんな人ですか？,,例：英語教師・海外就職志望・移住準備中の人
【型5：商品の別視点型】,V-02,その「意外なターゲット」が得られる価値を具体的に書いてください,,例：英語教師なら生徒にライティングを教える視点が得られる
【型5：商品の別視点型】,V-03,メインターゲット以外からの問い合わせや反応で印象に残っているものは？,,例：「IELTSを受けない予定だったけど英文ライティング力が上がった」
,,,,
【型6：失敗の恐怖×強み対比型】,F-01,多くの人がやりがちな「間違った勉強法」を3つ書いてください,,例：テンプレ暗記・モデルアンサーの丸写し・語彙だけを増やす
【型6：失敗の恐怖×強み対比型】,F-02,それぞれの間違いが「なぜ危険か」を説明してください,,例：テンプレは試験官に見抜かれて減点になる
【型6：失敗の恐怖×強み対比型】,F-03,あなたのコーチングが「その間違いを防ぐ」理由を一言で,,例：採点基準から逆算した「自分の言葉」で書く力を育てるから
,,,,
【型7：顧客実績リアル提示型】,R-01,一番インパクトのある生徒の実績を数字で書いてください,,例：1週間の指導でライティング6.0→6.5
【型7：顧客実績リアル提示型】,R-02,その生徒のビフォー状態（悩み・状況）を詳しく,,例：独学8ヶ月・何が悪いか分からず行き詰まっていた
【型7：顧客実績リアル提示型】,R-03,生徒から届いた嬉しい報告・メッセージのスクショや内容はありますか？,,例：「初めて採点基準の意味が分かりました」「合格しました！」
【型7：顧客実績リアル提示型】,R-04,その実績が「特別な人だけじゃない」と示せる理由は？,,例：英語が得意じゃなかった・仕事しながら週3回だけ練習
,,,,
【型8：自身の限定実績型】,L-01,あなた自身の「あまり公開していない実績や数字」はありますか？,,例：添削件数700件以上・生徒のスコアアップ率・講座満足度
【型8：自身の限定実績型】,L-02,それを「ここだけの情報」として出すとしたら、どう見せますか？,,例：「SNSには書いてないけど、今年の講座でスコアが上がった人の割合は100%」
【型8：自身の限定実績型】,L-03,その実績の裏にある「あなたならではのこだわり・理由」は？,,例：一人ひとりの答案を必ず2回以上見るから再現性がある
,,,,
【型9：挑戦ステップ可視化型】,ST-01,個別相談に申し込んでから結果が出るまでのステップを書いてください（箇条書き）,,例：①申し込み②ヒアリング③課題特定④練習プラン④実践⑤スコアアップ
【型9：挑戦ステップ可視化型】,ST-02,「最初の一歩」として今すぐできることは何ですか？,,例：今書いた答案を1枚持って相談に来るだけでOK
【型9：挑戦ステップ可視化型】,ST-03,ステップのどこが「思ったより簡単」と感じてもらえるポイントですか？,,例：答案を書いてくる必要すらない・ヒアリングから全部一緒にやる
,,,,
【型10：次の疑問先出し型】,NQ-01,相談や商品の説明を聞いた後に「でも…」と思われそうな次の疑問は何ですか？,,例：「具体的に何をどう練習すればいいの？」「一人でできるか不安」
【型10：次の疑問先出し型】,NQ-02,その疑問に対して「それも解決できます」と言える理由・内容は？,,例：個別相談後に練習プランをそのまま渡すから一人でも続けられる
【型10：次の疑問先出し型】,NQ-03,「まだ迷っている人」へ最後に伝えたい一言は？,,例：始める前は全員不安です。でも動いた人だけが変わっています
